0x0000 Type: 0   Name: UNKNOWN                                      flags: 0x0002 TYPE_TCP_WCHAR_STR
0x0001 Type: 5   Name: ABANDON_FLAG                                 flags: 0x0005 TYPE_TCP_UINT8
0x0002 Type: 1   Name: ACCELERATION_RATE                            flags: 0x0006 TYPE_TCP_FLOAT
0x0003 Type: 5   Name: ACCEPT_FLAG                                  flags: 0x0003 TYPE_TCP_UINT8
0x0004 Type: 0   Name: ACCEPTED_FLAG                                flags: 0x0007 TYPE_TCP_WCHAR_STR
0x0005 Type: 0   Name: ACCEPT_DECALS_FLAG                           flags: 0x0004 TYPE_TCP_WCHAR_STR
0x0006 Type: 0   Name: ACCEPT_DECALS_RUNTIME_FLAG                   flags: 0x0008 TYPE_TCP_WCHAR_STR
0x0007 Type: 0   Name: ACCEPT_LIGHTS_FLAG                           flags: 0x0009 TYPE_TCP_WCHAR_STR
0x0008 Type: 8   Name: ACCESS_FLAGS                                 flags: 0x000A TYPE_TCP_UINT64
0x0009 Type: 3   Name: ACCOUNT_ID                                   flags: 0x000B TYPE_TCP_UINT32
0x000A Type: 1   Name: ACCURACY_OVERRIDE                            flags: 0x000C TYPE_TCP_FLOAT
0x000B Type: 7   Name: ACHIEVED_DATETIME                            flags: 0x000D TYPE_TCP_DATETIME
0x000C Type: 3   Name: ACHIEVEMENT_GROUP_ID                         flags: 0x000E TYPE_TCP_UINT32
0x000D Type: 3   Name: ACHIEVEMENT_ID                               flags: 0x000F TYPE_TCP_UINT32
0x000E Type: 0   Name: ACHIEVEMENT_NAME                             flags: 0x056D TYPE_TCP_WCHAR_STR
0x000F Type: 3   Name: ACHIEVEMENT_SEGMENT_ID                       flags: 0x05A2 TYPE_TCP_UINT32
0x0010 Type: 3   Name: ACTION_FLAGS                                 flags: 0x0010 TYPE_TCP_UINT32
0x0011 Type: 3   Name: ACTION_ID                                    flags: 0x0011 TYPE_TCP_UINT32
0x0012 Type: 3   Name: ACTION_TYPE_VALUE_ID                         flags: 0x0012 TYPE_TCP_UINT32
0x0013 Type: 7   Name: ACTIVATION_DATETIME                          flags: 0x0013 TYPE_TCP_DATETIME
0x0014 Type: 3   Name: ACTIVATION_TYPE_VALUE_ID                     flags: 0x0014 TYPE_TCP_UINT32
0x0015 Type: 3   Name: ACTIVE_DURATION                              flags: 0x0015 TYPE_TCP_UINT32
0x0016 Type: 0   Name: ACTIVE_FLAG                                  flags: 0x0016 TYPE_TCP_WCHAR_STR
0x0017 Type: 3   Name: ACTIVE_HEIGHT                                flags: 0x0017 TYPE_TCP_UINT32
0x0018 Type: 3   Name: ACTIVE_POSITION                              flags: 0x0018 TYPE_TCP_UINT32
0x0019 Type: 3   Name: ACTIVE_START_TIME                            flags: 0x0019 TYPE_TCP_UINT32
0x001A Type: 3   Name: ACTIVE_WIDTH                                 flags: 0x001A TYPE_TCP_UINT32
0x001B Type: 1   Name: ADJACENCY_BONUS                              flags: 0x001B TYPE_TCP_FLOAT
0x001C Type: 3   Name: AFK_TIMEOUT_SEC                              flags: 0x001C TYPE_TCP_UINT32
0x001D Type: 3   Name: AGENCY_COUNT                                 flags: 0x001D TYPE_TCP_UINT32
0x001E Type: 2   Name: AGENCY_CURRENCY                              flags: 0x001E TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x001F Type: 3   Name: AGENCY_ID                                    flags: 0x058B TYPE_TCP_UINT32
0x0020 Type: 0   Name: AGENCY_INFORMATION                           flags: 0x001F TYPE_TCP_WCHAR_STR
0x0021 Type: 3   Name: AGENCY_MAX                                   flags: 0x0020 TYPE_TCP_UINT32
0x0022 Type: 3   Name: AGENCY_MIN                                   flags: 0x0021 TYPE_TCP_UINT32
0x0023 Type: 0   Name: AGENCY_MOTD                                  flags: 0x0022 TYPE_TCP_WCHAR_STR
0x0024 Type: 0   Name: AGENCY_NAME                                  flags: 0x0023 TYPE_TCP_WCHAR_STR
0x0025 Type: 3   Name: AIM_OFFSET_PROFILE_RES_ID                    flags: 0x0024 TYPE_TCP_UINT32
0x0026 Type: 2   Name: ALARM_BOT_SPAWN_TABLE_ID                     flags: 0x05D0 TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x0027 Type: 5   Name: ALERT_PRIORITY                               flags: 0x0025 TYPE_TCP_UINT8
0x0028 Type: 5   Name: ALERT_TYPE                                   flags: 0x0026 TYPE_TCP_UINT8
0x0029 Type: 3   Name: ALLIANCE_ID                                  flags: 0x0027 TYPE_TCP_UINT32
0x002A Type: 3   Name: ALLIANCE_MAX                                 flags: 0x0028 TYPE_TCP_UINT32
0x002B Type: 3   Name: ALLIANCE_MIN                                 flags: 0x0029 TYPE_TCP_UINT32
0x002C Type: 0   Name: ALLIANCE_NAME                                flags: 0x002A TYPE_TCP_WCHAR_STR
0x002D Type: 0   Name: ALLOW_APPROX_OCCLUSION_FLAG                  flags: 0x002B TYPE_TCP_WCHAR_STR
0x002E Type: 0   Name: ALLOW_CUSTOMIZE_FLAG                         flags: 0x002C TYPE_TCP_WCHAR_STR
0x002F Type: 0   Name: ALLOW_SOUND_TO_FINISH_FLAG                   flags: 0x002D TYPE_TCP_WCHAR_STR
0x0030 Type: 5   Name: ALT_REALITY_FLAG                             flags: 0x0581 TYPE_TCP_UINT8
0x0031 Type: 3   Name: ALT_SITE_ID                                  flags: 0x002E TYPE_TCP_UINT32
0x0032 Type: 0   Name: ALWAYS_LOAD_ON_SERVER_FLAG                   flags: 0x002F TYPE_TCP_WCHAR_STR
0x0033 Type: 3   Name: ANIMATION_RES_ID                             flags: 0x0030 TYPE_TCP_UINT32
0x0034 Type: 7   Name: ANIMATION_SECONDS                            flags: 0x0031 TYPE_TCP_DATETIME
0x0035 Type: 3   Name: ANIM_SET_DEST_TYPE_VALUE_ID                  flags: 0x0032 TYPE_TCP_UINT32
0x0036 Type: 3   Name: ANIM_SET_RES_ID                              flags: 0x05E7 TYPE_TCP_UINT32
0x0037 Type: 3   Name: ANIM_TREE_RES_ID                             flags: 0x0035 TYPE_TCP_UINT32
0x0038 Type: 1   Name: APPLICATION_CHANCE                           flags: 0x0036 TYPE_TCP_FLOAT
0x0039 Type: 7   Name: APPLICATION_DATETIME                         flags: 0x0037 TYPE_TCP_DATETIME
0x003A Type: 0   Name: APPLICATION_TEXT                             flags: 0x0033 TYPE_TCP_WCHAR_STR
0x003B Type: 1   Name: APPLICATION_VALUE                            flags: 0x0034 TYPE_TCP_FLOAT
0x003C Type: 3   Name: APPLICATION_VALUE_ID                         flags: 0x0038 TYPE_TCP_UINT32
0x003D Type: 1   Name: APPLY_INTERVAL_SEC                           flags: 0x0039 TYPE_TCP_FLOAT
0x003E Type: 0   Name: APPLY_ON_INTERVAL_FLAG                       flags: 0x003A TYPE_TCP_WCHAR_STR
0x003F Type: 3   Name: ARTILLERY_TARGET_TYPE_VALUE_ID               flags: 0x003B TYPE_TCP_UINT32
0x0040 Type: 3   Name: ASM_ID                                       flags: 0x003C TYPE_TCP_UINT32
0x0041 Type: 3   Name: ASM_MESH_FX_ID                               flags: 0x059B TYPE_TCP_UINT32
0x0042 Type: 3   Name: ASM_MESH_TYPE_VALUE_ID                       flags: 0x003D TYPE_TCP_UINT32
0x0043 Type: 3   Name: ASSISTS                                      flags: 0x003E TYPE_TCP_UINT32
0x0044 Type: 3   Name: ATK_CC_MAP_GAME_ID                           flags: 0x003F TYPE_TCP_UINT32
0x0045 Type: 5   Name: ATTACKER_OWNED_FLAG                          flags: 0x0040 TYPE_TCP_UINT8
0x0046 Type: 3   Name: ATTACKING_AGENCY_ID                          flags: 0x0041 TYPE_TCP_UINT32
0x0047 Type: 0   Name: ATTACKING_AGENCY_NAME                        flags: 0x0042 TYPE_TCP_WCHAR_STR
0x0048 Type: 3   Name: ATTACKING_ALLIANCE_ID                        flags: 0x0043 TYPE_TCP_UINT32
0x0049 Type: 0   Name: ATTACKING_ALLIANCE_NAME                      flags: 0x0044 TYPE_TCP_WCHAR_STR
0x004A Type: 3   Name: ATTACK_ALLIANCE_ID                           flags: 0x004A TYPE_TCP_UINT32
0x004B Type: 3   Name: ATTACK_COUNT                                 flags: 0x004B TYPE_TCP_UINT32
0x004C Type: 3   Name: ATTACK_MAP_GAME_ID                           flags: 0x004C TYPE_TCP_UINT32
0x004D Type: 3   Name: ATTACK_RATING                                flags: 0x004D TYPE_TCP_UINT32
0x004E Type: 3   Name: ATTACK_RATING_BONUS                          flags: 0x004E TYPE_TCP_UINT32
0x004F Type: 3   Name: ATTACK_STRIKE_FORCE_ID                       flags: 0x004F TYPE_TCP_UINT32
0x0050 Type: 3   Name: ATTACK_TEAM_NUMBER                           flags: 0x0050 TYPE_TCP_UINT32
0x0051 Type: 3   Name: ATTACK_TYPE_FLAGS                            flags: 0x0051 TYPE_TCP_UINT32
0x0052 Type: 3   Name: ATTACK_TYPE_VALUE_ID                         flags: 0x0052 TYPE_TCP_UINT32
0x0053 Type: 3   Name: AUCTION_ITEM_BID_LOG_ID                      flags: 0x0045 TYPE_TCP_UINT32
0x0054 Type: 3   Name: AUCTION_ITEM_ID                              flags: 0x0046 TYPE_TCP_UINT32
0x0055 Type: 3   Name: AUCTION_ITEM_LOG_ID                          flags: 0x0047 TYPE_TCP_UINT32
0x0056 Type: 3   Name: AUCTION_TIME_LEFT                            flags: 0x0048 TYPE_TCP_UINT32
0x0057 Type: 1   Name: AUDIO_CHANCE                                 flags: 0x0049 TYPE_TCP_FLOAT
0x0058 Type: 3   Name: AUDIO_GROUP_ID                               flags: 0x0053 TYPE_TCP_UINT32
0x0059 Type: 3   Name: AUDIT_ID                                     flags: 0x0054 TYPE_TCP_UINT32
0x005A Type: 7   Name: AUDIT_TIMESTAMP                              flags: 0x0055 TYPE_TCP_DATETIME
0x005B Type: 0   Name: AUDIT_USER                                   flags: 0x0056 TYPE_TCP_WCHAR_STR
0x005C Type: 0   Name: AUTO_ALLOCATE_FLAG                           flags: 0x0057 TYPE_TCP_WCHAR_STR
0x005D Type: 0   Name: AUTO_CREATE_FLAG                             flags: 0x0058 TYPE_TCP_WCHAR_STR
0x005E Type: 3   Name: AUTO_SEAL_SEC                                flags: 0x0059 TYPE_TCP_UINT32
0x005F Type: 3   Name: AVG_HIT_DISTANCE                             flags: 0x005A TYPE_TCP_UINT32
0x0060 Type: 3   Name: AVG_PLAYER_HIT_DISTANCE                      flags: 0x005B TYPE_TCP_UINT32
0x0061 Type: 3   Name: AVG_PRICE                                    flags: 0x005C TYPE_TCP_UINT32
0x0062 Type: 3   Name: BACKFILL_LOG_ID                              flags: 0x005D TYPE_TCP_UINT32
0x0063 Type: 3   Name: BACKGROUND_IMAGE_RES_ID                      flags: 0x005E TYPE_TCP_UINT32
0x0064 Type: 7   Name: BANNED_UNTIL_DATETIME                        flags: 0x0582 TYPE_TCP_DATETIME
0x0065 Type: 3   Name: BASE_COUNT                                   flags: 0x005F TYPE_TCP_UINT32
0x0066 Type: 5   Name: BASE_PROTECTED_FLAG                          flags: 0x0060 TYPE_TCP_UINT8
0x0067 Type: 1   Name: BASE_VALUE                                   flags: 0x0061 TYPE_TCP_FLOAT
0x0068 Type: 1   Name: BEAM_OFF_TIME_SECS                           flags: 0x0062 TYPE_TCP_FLOAT
0x0069 Type: 1   Name: BEAM_ON_TIME_SECS                            flags: 0x0063 TYPE_TCP_FLOAT
0x006A Type: 3   Name: BEAM_TYPE_VALUE_ID                           flags: 0x0064 TYPE_TCP_UINT32
0x006B Type: 3   Name: BEHAVIOR_ID                                  flags: 0x0065 TYPE_TCP_UINT32
0x006C Type: 3   Name: BID_AMOUNT                                   flags: 0x0066 TYPE_TCP_UINT32
0x006D Type: 3   Name: BID_CHARACTER_ID                             flags: 0x0067 TYPE_TCP_UINT32
0x006E Type: 3   Name: LAUNCH_COMPLETE_SECONDS                      flags: 0x0068 TYPE_TCP_UINT32
0x006F Type: 7   Name: BID_DATETIME                                 flags: 0x0069 TYPE_TCP_DATETIME
