0x0000 Name: UNKNOWN                                      flags: 0x016C
0x0001 Name: FETCH_CHARACTER                              flags: 0x01FD
0x0002 Name: STARTUP_INFO                                 flags: 0x015C
0x0003 Name: GET_ACCOUNTS                                 flags: 0x00EE
0x0004 Name: GET_ALL_EFFECT_GROUPS                        flags: 0x0082
0x0005 Name: GET_ALL_EFFECTS                              flags: 0x014E
0x0006 Name: GET_ALL_MAPS                                 flags: 0x00B7
0x0007 Name: GET_ALL_MSG_TRANSLATIONS                     flags: 0x00CC
0x0008 Name: GET_ALL_MSGS                                 flags: 0x0194
0x0009 Name: GET_ALL_CODE_EXPORT_MSGS                     flags: 0x00C7
0x000A Name: GET_ALL_RESOURCES                            flags: 0x00B4
0x000B Name: GET_ALL_BOTS                                 flags: 0x00BC
0x000C Name: GET_ALL_BOT_ACTIONS                          flags: 0x00BE
0x000D Name: GET_ALL_BOT_BEHAVIORS                        flags: 0x00B9
0x000E Name: GET_ALL_BOT_BODIES                           flags: 0x00D0
0x000F Name: GET_ALL_BOT_DEVICES                          flags: 0x00C2
0x0010 Name: GET_ALL_BOT_HEADS                            flags: 0x00B6
0x0011 Name: GET_ALL_BOT_MOVEMENTS                        flags: 0x00B5
0x0012 Name: GET_ALL_BOT_TESTS                            flags: 0x00BA
0x0013 Name: GET_CHARACTER_BY_ID                          flags: 0x01A2
0x0014 Name: GET_CHARACTER_TYPES                          flags: 0x00C1
0x0015 Name: GET_DATA_ASSEMBLY                            flags: 0x00CD
0x0016 Name: GET_DEPLOYABLES                              flags: 0x00C0
0x0017 Name: GET_DESTRUCTIBLES                            flags: 0x00BF
0x0018 Name: GET_DEVICES                                  flags: 0x00BB
0x0019 Name: GET_DEVICE_MODES                             flags: 0x00B8
0x001A Name: GET_DEVICE_MODE_PROPERTIES                   flags: 0x00BD
0x001B Name: GET_ITEMS                                    flags: 0x00CE
0x001C Name: GET_MAP_BY_ID                                flags: 0x00C4
0x001D Name: GET_MAPS                                     flags: 0x00C6
0x001E Name: REGISTER_MAP                                 flags: 0x00C3
0x001F Name: COPY_MAP_INSTANCE                            flags: 0x00C5
0x0020 Name: UPDATE_MAP_OBJECT_CONFIG                     flags: 0x00CF
0x0021 Name: GET_MAP_SELECTION_LISTS                      flags: 0x019D
0x0022 Name: GET_MAP_SELECTION_ITEMS                      flags: 0x00C8
0x0023 Name: GET_MAP_INSTANCES_FOR_MAP_GAME               flags: 0x00CB
0x0024 Name: GET_MAP_GAME_BY_ID                           flags: 0x00CA
0x0025 Name: DELETE_MAP_GAME                              flags: 0x00C9
0x0026 Name: UPDATE_MAP_INSTANCE                          flags: 0x0059
0x0027 Name: DELETE_MAP_INSTANCE                          flags: 0x00D6
0x0028 Name: ALLOC_INSTANCE_BY_OWNER                      flags: 0x00D1
0x0029 Name: GET_MAP_TYPES_AND_NAME                       flags: 0x00D2
0x002A Name: GET_PROJECTILES                              flags: 0x00D8
0x002B Name: GET_ROBOT_BY_NAME                            flags: 0x00DA
0x002C Name: GET_SPECIAL_FX                               flags: 0x00D5
0x002D Name: GET_ALL_MESH_ASM                             flags: 0x00D4
0x002E Name: GET_ALL_ASM_MESH_FX                          flags: 0x00D9
0x002F Name: GET_IMPACT_FX                                flags: 0x00D7
0x0030 Name: GET_DEVICE_SKILLS                            flags: 0x00D3
0x0031 Name: GET_DEVICES_BY_SKILL_TYPE                    flags: 0x00DB
0x0032 Name: GET_DEVICES_BY_SLOT_USED_CODE                flags: 0x0028
0x0033 Name: GET_ALL_DEVICES_BY_SLOT_USED_CODE            flags: 0x10000189
0x0034 Name: GSC_CHARACTER_LIST                           flags: 0x0180
0x0035 Name: GSC_CONMGR_ONLINE                            flags: 0x017A
0x0036 Name: GSC_GO_PLAY                                  flags: 0x0179
0x0037 Name: GSC_LAUNCH_MAP_INSTANCE                      flags: 0x017B
0x0038 Name: GSC_REQUIRED_SOFTWARE                        flags: 0x10000178
